,0
2587,"@CP24 Stay at home order, lockdown, it’s all@a big fat joke !"
2588,Spent lockdown teaching myself bookbinding - made a facsimile 1st edition of 'Picture of Dorian Gray' ... (last pho… https://t.co/cTqw5DxL9y
2589,"Ontario's ""stay at home"" order likely being extended to June 2. Meanwhile, Toronto's board of health has passed a m… https://t.co/0aoOtXrpDR"
2590,"I’m so confused. Mitt is jealous that despite stricter Covid lockdown in CA than in FL or TX, our economy is stronger. Then be like us! 😛"
2591,The lockdown which the presidential steering committee mentioned today how true is it? Cc @gidifeedtv @Gidi_Traffic
2592,Is there another lockdown tomorrow ?
2593,@PatKennyNT The Cabra  library did a great delivery service during lockdown much appreciated. 👏🏻👏🏻👏🏻
2594,"I said there is more to this lockdown, armed robber invaded Aso rock, the insecurity in the country has skyrocketed… https://t.co/jki9gWD1C5"
2595,Parents urged follow rules and get tested as Covid cases hit Bolton schools. https://t.co/umoppI1nKs
2596,@teganlgw Eating breads a low point!? 😂 I drank 3 bottles of red wine and ate that tin of ratatouille you and kirst… https://t.co/EqpgX2vjYB
2597,@Amateurcapper @LauraDPugh @PicksByDynasty @SaratogaSlim Ok but now you are drawing even more conclusions that all… https://t.co/P6cmzadVtt
2598,when did we do phase 2 &amp; 3 lockdown 😯🤔🤔😯
2599,Political conditions have put us in a very big crisis.  Our economy is closed.  We are imprisoned in homes and we a… https://t.co/yY6YiSyuZT
2600,@jasminbhasinNnn @jasminbhasin Not yet😔. Because of qurantine i am posting old ones
2601,"Ksa Allows vaccinated passengers who's travelling to Ksa from Outside without Institutional Qurantine, Pakistan rec… https://t.co/h8DlAEaxPz"
2602,"@shishito6ix @gathertonourish @fordnation Travel was never banned!  If it was banned, how can you explain the thous… https://t.co/kRV9BmyOt6"
2603,@GunnerLoulou That's the whole world after qurantine
2604,"@AirCanada hello, hope u all are doing well. My flight is on 28 may, what are the chances of flying to canada from… https://t.co/GtdO237SLD"
2605,@kunalkamra88 She must be sent to psychiatric hold for qurantine
2606,@CBS WHY DID THE CDC ONLY NOW DECLARE THE AIRBORNE SPREAD OF THE VIRUS?TRUMP KNEW IT FROM THE BEGINNING THE REPORTE… https://t.co/PlCh8ZZDUn
2607,"*VENTILATOR BED REQUEST 
 Noida
Date: 10/may/21
: Banbehari Sarkar
Age: 80
Blood Group:
Purpose: Suffering from Pos… https://t.co/opyNqI9tXI"
2608,"@tennisandlocs Covid and Qurantine. 

I know."
2609,I just saw Inmates broken requisites at qurantine centre - Click to see also ☛  https://t.co/WUZzDwpq65 https://t.co/L8OXgO6Qim
2610,"Ohhh its May 10 already.. that's so quick..

I think now that its been a month i can share it.

Last month (April 1… https://t.co/qlCWxL2nR4"
2611,"@BorisJohnson Please do something on qurantine on arrival from the red listed countries, we are face many issues, w… https://t.co/7Zb8dmvWJL"
2612,"This is the currant situation in sri lanka honey, peopls who dont wear mask properly carry and sent to qurantine ce… https://t.co/DMmCr6rBRx"
2613,@NCEMAUAE is there 10 days qurantine for all travelles??
2614,@TravelCTM_UK I raised refund for my COVID-19 kit 10 days ago they gave me 5 days estimated time but yet I didn’t g… https://t.co/q2PHtnrmnm
2615,@PrasharSdp This is a bad precedent that even after vaccination they require Qurantine..
2616,"Family moving from Delhi to Pauri District of Uttrakhand need to qurantine in institutonal area. 
Please Confirm… https://t.co/t1xl98Gj92"
2617,@Main_hu_yrr Please qurantine ho jao
2618,I recieved a call from health dept that i since i am a health care worker and i have got covid so they need to coll… https://t.co/eALoxnW7b5
2619,"May Allah give him a place in jannat and sabar to his family and friends.
He was on the front of covid19 fight from… https://t.co/MTQDJCWzrL"
2620,"Qurantine days are back! Time is again running.
Ab parso he toh Monday gaya tha, aaj vapas aa gaya 😓… https://t.co/ADfNKdehdf"
2621,@sachp Wondering why Vitamin C isn't routinely advised. A friend who tested positive and was in a qurantine centre was given Vit C every day
2622,@TheBluePen25 Mouth Qurantine...
2623,@rrp454 @yazza97118774 @ProperStewart @9NewsAUS The problem is that we went from 15 days to flatten the curve to ma… https://t.co/jT5k2qohs1
2624,"Shit. I have been worrying so much about my Gender Identity and the qurantine, I forgot about School and shit. FUCK"
2625,@grantshapps Plz allow fully vaccinated people home qurantine rather than hotel plz...
2626,@Arzitasingh07 If you are Positive and Home qurantine then Daily .... government Jounier doctor with nurse come to… https://t.co/hAlgdGCyAf
2627,The #COVID19 pandemic seemed to spark another health issue - an increase in #eatingdisorders. Dr. Alix Timko of… https://t.co/YXaCInT1tv
2628,@officiaIKangana She always has different style to do different things like qurantine...
2629,@PMOIndia @CMOMaharashtra @rajeshtope11 dear sir we are stuck at airport we landed frm dubai at 5:30pm by xi 246 fl… https://t.co/ojJuC7qst3
2630,@KONASEEMAKURODU @Hitmann452 @Lokesh10690538 @ImRo45 The reason is no just one innings . But yes the reason is that… https://t.co/7JutjpgtPG
2631,"@DDNewslive People who are having coughing , running nose and some pain in the chest after being in qurantine For 1… https://t.co/sRoDNTM0pm"
2632,"9th day of Qurantine after being infected with #Covid19. Its really tough.

#COVIDSecondWave"
2633,@EliAshawnn Mfs didnt wanna Qurantine at they own house so now i got covid 🤦🏽‍♀️🤦🏽‍♀️
2634,Home Qurantine https://t.co/voCAcTB7zo
2635,Hello sir. Considering the new rule of travellers to qurantine for 7 days despite of having negative covid report f… https://t.co/3kzi1Tg1Dq
2636,"BCCI Plans for WTC Final and Test Series vs England -
• 8 days bio-bubble in India (from 25th May)
• Team India to… https://t.co/PTQyBO7waq"
2637,@B3thyVA @KateKa22 Yeah ik i live in India its just getting worse here. Also my relatives got covid and are in qura… https://t.co/ddtSPSzFXN
2638,"@airtelindia hello, i need my lost sim no, my qurantine is over,  now plz tell me which of your store i have to vis… https://t.co/GA5omTvqKP"
2639,@lcsmark He has Keep Running filming tomorrow but I’m hoping he goes home at the end of June 👀 with the 3 week HK a… https://t.co/xAMYmXIx0D
2640,@SirishaRao17 This mother's day (as she may knows how u cared while she was in Qurantine )is for your daughter's day so celibreate
2641,Me predicting my qurantine look back in year 2004 . 🙂👍 https://t.co/RKqwr5sAKw
2642,"🇰🇵#NorthKorea #Pyongyang #PROPAGANDA

North Koreas state controlled media issued following article in wich it talks… https://t.co/spH1STw1Wr"
2643,@imviren1 @Mukeshias @AmdavadAMC @KiritParmar_ @HiteshBarotBJP @InfoGujarat @MoHUA_India @drrajivguptaias… https://t.co/2oJenFLmX7
2644,@OffCringePolice mid of qurantine?
2645,@nah_im_abdulla @SageSwapnil @bizarroguy Reporting correct figures and awarness...! Really? If people are so aware… https://t.co/406FM1puLW
2646,@Nazunaseem @HindHindh @KudiiThaufeeq @axanner By things stand dont think kudi is in a mood to laugh either. Riskin… https://t.co/M4WjOmDvUt
2647,The best Qurantine center ever 😂 https://t.co/MPCvLwrDXg
2648,"@monica_2978 Australian govt is just overreacting over Corona for upcoming elections.
They didn't make any Qurantin… https://t.co/EA0vyB09mT"
2649,"India cricketers to travel with families to England, hard quarantine in India to enable bubble transfer https://t.co/8WfQSB6Vv1"
2650,@Nabyllionaire I'm NOT in favor of signing him. Hear me out. He's African so he he'd be off to the AFCONs with Sala… https://t.co/t7YKNBGcl1
2651,@flyspicejet I have cancelled my flight PNR:E8NK3P on 2 May by speaking my issue of society seal &amp; qurantine with s… https://t.co/Ugf3emKM7a
2652,@IndEmbDoha Is there anyone going to qatar please let me know by what's app ±97455761101. Actually one of my friend… https://t.co/YiQbmxC4og
2653,"@Nicotweeen @ManMundra Hi Bro, Uncle is recovering at home under strict qurantine. Thank You for asking 🙏

I believ… https://t.co/uinlhorB0q"
2654,@Vaigaitv_Chn Home Qurantine 14 DaYz Ippa Bore
2655,i'm in touch with my family and sharing good time on social media with them as they're all qurantine in theirs rooms in one home..!🤞❤️🥺
2656,@ukphnetwork @PHE_uk #wizzair s giving the wrong travel advise. Plesse do something about it. They are claiming tra… https://t.co/xN2mWRx2oI
2657,"India cricketers to travel with families to England, hard quarantine in India to enable bubble transfer https://t.co/McXbcpxdNq"
2658,"India cricketers set to travel with their families to England, bubble-to-bubble transfer likely after hard quaranti… https://t.co/5uiXmTMzMD"
2659,My mother has taken her First dose of Covidshield on 16/4/2021 due to qurantine we were unable to go for second dos… https://t.co/UeRMDBHAWn
2660,"@YouAreLobbyLud @ScottMorrisonMP Leviticus 13:1-40 NIV but it sounds more like for skin infection or leprosy, howev… https://t.co/HowWb0XEYl"
2661,"@TharmaPillai @lisazelang But one thing for sure, when it hits your workplace, its like random zombie apocalypse. M… https://t.co/s0iZ8cCxdW"
2662,"@TharmaPillai @lisazelang My kilang had our own cluster, kalau tutup kilang mmg jobless la kami 5K staff malaysian… https://t.co/VOoIovJpnG"
2663,"@chennaicorp
Respected Sir, need your help My mother is admitted in an private hospital in Chennai  with Covid posi… https://t.co/q6SpzS8F6f"
2664,Vaccine drive will be a failure if we dont limit the amount of postive cases. We need to trace qurantine and do mor… https://t.co/Ou7FEOVzhp
2665,@AajKamranKhan @CTurnerFCDO Pakistani can still travell to UK. But they to stay in the hotel Qurantine for 10 days.
2666,@courtney2886 @SkyNews This is so true i worked for covid cleaning in a call centre to keep staff safe. Indians wer… https://t.co/bqHR704WNo
2667,"BCCI Plans for #WTCFinal and Test Series vs England -

• 8 days bio-bubble in India (from 25th May)
• Team India to… https://t.co/3qwEPzmbpu"
2668,Dear @WHO I have one proposal in my mind to end  COVID-19 almost completely. If we qurantine the whole world for 14… https://t.co/qPDkWYggzL
2669,"Strict movement restrictions, expanding testing, home qurantine for asymptomatic patients and Vaccination!… https://t.co/0CGBPe2NFp"
2670,"Strict movement restrictions, expanding testing, home qurantine for asymptomatic patients and Vaccination! 

If the… https://t.co/F2ou45Lrjc"
2671,@zt000tz stay safe negeri you kes banyak..penang declare less tapi all hospitals n qurantine center full..entah apa depa declare😬😬
2672,@ANI Malli vachi post chesthey saripodhi Qurantine lo undakunda Without mask she is speaking
2673,Stigmatization can lead to depression and anxiety. Stop it today. Know that; diseases can make anyone sick regardle… https://t.co/n6lFIZDwdv
2674,"BCCI Plans for #WTCFinal and Test Series vs England -

• 8 days bio-bubble in India (from 25th May)
• Team India to… https://t.co/rXg6vp1RHt"
2675,"COVID-19 Indian variant found in qurantine center, six variants currently identified in SL https://t.co/RIQYZe1FBW"
2676,"#COVID19India variant found in qurantine center, six variants currently identified in #SriLanka 
https://t.co/FP1hCq78cx"
2677,"COVID-19 Indian variant found in qurantine center, six variants currently identified in SL https://t.co/W2D7HCQerI"
2678,"Kangana Ranaut test COVID-Positive, Qurantine Herself | Writes Special Message For Fans

#KangnaRanaut… https://t.co/r1FwFCXAXs"
2679,@MukhMukka @SAMAATV Qatar is on red list. He was going to saudi to escape qurantine
2680,Qurantine nights be like... #kishorekumar https://t.co/wxxMwN6qp1
2681,@RajapaksaNamal @MoYS_SriLanka Good initiative. I know some of the covid patients are only given a chair in qurantine centers.
2682,"last year, we held pride series with the theme ""queer spaces,"" which was meant to have artists narrate queer life u… https://t.co/TQY9VOj0yR"
2683,Vagwan ne humari sunli 🙏🏻!! KNMH back from Qurantine! Weekend sorted 🤣❤️ https://t.co/sDF4bFqfqz
2684,@ndtv Wow great news kindly qurantine in RSS or BJP IT cell room
2685,"BCCI Plans for #WTCFinal and Test Series vs England -

• 8 days bio-bubble in India (from 25th May)
• Team India to… https://t.co/Vi2KNGvYVs"
2686,"@Udhaystalin 
Respected Sir, need your help My mother is admitted in an private hospital in Chennai  with Covid pos… https://t.co/5hhOIlyDJ5"
2687,@_Chandrika__ @Nandu_Reddy13 Good morning sister.. How was ur qurantine going
2688,@flipkartsupport Placed an order and your delivery partner denied delivering the items to my doorstep..he wanted to… https://t.co/LPGLbq5ice
2689,Have a nice qurantine weekend .
2690,@stephen55125661 @malcthetalc316 @SkyNews Flights from india allowed only thing is they need to qurantine paying 2750 GBP for 10 days .
2691,this was extremely jarring as I had to qurantine in my cell for 2 weeks
2692,@andydavis1978 Basically everyone from red list countries were going to turkey for 10 days to avoid having to stay… https://t.co/6ULhB3IJ4t
2693,@meddytweets @CTurnerFCDO @CMShehbaz He'll have to qurantine at a hotel at his own expense of £1750 followed by a C… https://t.co/fvdsJDDy8b
2694,@PPaulCharles Do we need to qurantine in portugal?
2695,#বাংলাদেশ when will application of qurantine be removed?
2696,"QURANTINE DREAMS HOSES IN SP 
12/1 wooshhhhhh 🐎💨💨💨💨"
2697,20 plus crew of #DCI detected #covid19positive from dredger 20 at kochi port. Qurantine   All possible logistics su… https://t.co/R9dIrKEMKE
2698,She broke qurantine rules dear thats why she got in trouble. not about hiding her corona positive news.… https://t.co/EI5mc5QZMu
2699,Can anyone educate me on this- if she is tested negative can she enter inside bb or she still have to qurantine the… https://t.co/FrlANOq1pY
2700,@bhogleharsha So will the players will be in qurantine for 15 days when they go there 🤔
2701,@kaylene_dup @JoEmbassyUS No qurantine requirement.  However you are required to take a PCR test within 5 days of t… https://t.co/7g8GvG2R2c
2702,"Poland annuls outdoor face mask requirement #mask #qurantine #Poland 
https://t.co/puNkSXKIQt"
2703,"@SonuSood Need an oxygen kit for home qurantine
We can't find it anywhere please help 
Patient details
Patient :- S… https://t.co/0gQxellOvO"
2704,"It wouldn't be a party without you #BIGOLIVE &gt; qurantine ☕.    https://t.co/QoAswZSfgG
https://t.co/udsXefZ9Xi https://t.co/krB1yPi9nx"
2705,"When I first got the news honestly I'm not even scared, because I know (I just know) that he'll be okay, but then t… https://t.co/aQq1iRIFmj"
2706,My 4mood during qurantine 🥱 https://t.co/HBx6HygVxC
2707,Anna ji 7 year se Qurantine me he 😀 https://t.co/1IlGrdWXN8
2708,"First rule of qurantine,

-Dont fall in love, they just bored.

Take not"
2709,"Prevent yourself from Covid - 19
Second waves.
Wear mask
Wash your hand
Keep social distance 
Get vaccinated
Stay H… https://t.co/EvZhAzEw0z"
2710,"Girls meeting for the first tym after Qurantine : OMG! I missed you so much! 
*Le boys : https://t.co/jyFcZORbsF"
2711,@229Richard we've continued to let 10's of thousands in from all over world... In March last year the low estimates… https://t.co/gPba2UzhRC
2712,@iRON1k I am thinkong about Dr in august still one the fence because of the mandatory qurantine
2713,As a Social Responsibility you should start creating awareness about difference b/w Asymptomatic and Symptomatic pa… https://t.co/xHWAW8jOP6
2714,"@sumeetbagadia We have missed you sir alot we have prayed for you so you have camed out of qurantine 
   get well soon sir 🙏🙏💐💐"
2715,@SubratJ18321524 @AnilSinghvi_ Ho jata par lockdown aur qurantine ho gaya house no 216 .
2716,#MSDhoni staying in hotel till last so he can spend sometime if symptoms appears then he can qurantine himself ther… https://t.co/508q9cHMPM
2717,#Bangladesh when will application of qurantine end for passangers who come from Turkey?
2718,@Jadebih_ @ryde_or_dye94 They making you qurantine?
2719,"@Ganjam_Admin Name- Subrat Kumar DasBabu
Husband of J Ahaliya
Karan Street, Khallikote
Came from Banglore to Khalli… https://t.co/uUHKUiMkcJ"
2720,qurantine without rona
2721,@JayantiRavi If administration is doing so much good why High Court need to take them on task everyday. We are seei… https://t.co/VJl0movDgI
2722,Hong Kong’s Qurantine rules flow chart https://t.co/GQtExkApj5
2723,@MeghUpdates In addition to that they must also be asked to observe two weeks qurantine before going to the field f… https://t.co/8TGWX4YBme
2724,@jitengajaria Yogiji was in qurantine and team 11 was misguided him
2725,@himantabiswa Sir Request to impose 7 days fully &amp; strict lockdown except medical facilities in assam with testing-… https://t.co/O8p3L6CQHv
2726,@thedelhiwalla window view of my qurantine. https://t.co/F6xz2DVm06
2727,"It wouldn't be a party without you #BIGOLIVE &gt; qurantine ☕.    https://t.co/3JLeLAlLrq
https://t.co/Q1EUrWIunP https://t.co/wU2KavCZb5"
2728,@_JoelR7 @LiveFromALounge Yes ab kisi african country mai jaye whi qurantine kre .
2729,"@benitakolovos @ketaminh it's like dropping a bucket of water into raging forest fire, unless Indian government sta… https://t.co/UOjWTYF82i"
2730,"@MissLucy_2011 @concrete_cowboi @migga that is due to test trace and qurantine, so all close contact traced, we wer… https://t.co/IaGTXCfPjs"
2731,"Be a responsible citizen .
If you are having any symptom of covid-19 .
Qurantine yourself.

#COVID19"
2732,@MeghUpdates That Rakshashi shall qurantine them
2733,"Please contact us: 9545256953 

#travel #holidays #airticket #qurantine https://t.co/1vRW6dp1w1"
2734,@Cow__Momma Caption should be: jaysankar went all the way to London to attend meeting thought he is VIP and don't n… https://t.co/aiplgVq1Sd
2735,@dapmalaysia @MuhyiddinYassin @limkitsiang @guanenglim @GobindSinghDeo @ramkarpal @mpklang @PDRMsia @SPRMMalaysia… https://t.co/LYndib7iGx
2736,The most unuseful household item during qurantine 2021 https://t.co/pMP44Q7DLI
2737,"@AliAkaoMutu @fmtoday When King rejected @MuhyiddinYassin 's request for an emergency, because of Covid, saying… https://t.co/sEhmaesmBr"
2738,I currently have four new unworn Sakura that I made during qurantine and over pandemic. Eventually they'll see the light of day 🥲
2739,"@RajivKumar1 You Should resign. Niti Ayog messed up the data gathering, genome sequencing for incoming travellers,… https://t.co/f8lmb1upBV"
2740,@PlayApex you guys mistakenly added this variant of the 722 Qurantine as one for the void specialist. I already own… https://t.co/RJF1eED1xX
2741,Question is why 15obths latter WHO is unable to give global standards and norms on lockdown or Qurantine ? https://t.co/kgbTrh7ddy
2742,"@EvilDoctorK @emy_sepulveda Have looked at the link you sent me, and it looks like they do consider qurantine measu… https://t.co/lJ3adr5dGg"
2743,@Adnan_Zaheer @SMQureshiPTI @sayedzbukhari @fawadchaudhry Do it olz atleast for the immunized expats or do a qurantine.
2744,"@goodluckkozy ""ITS QURANTINE WHAT ELSE ARE YOU DOING!? NOT THINKING!? DID YOU GET YOUR VACCYS!? ARE YOU ESSENTIAL?… https://t.co/Jz3WCzy0MX"
2745,"If u hav any covid symptoms then first thing to do is Relax, Isolate &amp; Qurantine yourself. u will be fine. &amp;
it wil… https://t.co/XLwn8HmbRw"
2746,"I survive Qurantine coz i have lisa  

CONGRATULATIONS LISA
#7MforLILIFILM https://t.co/muNsxOdi20"
2747,"Anyone traveling from Delhi to Vancouver on 4th July, 2021 can dm me for travel and qurantine partner.
@oye_student 
@ucanwest"
2748,"#takeabreak from all the chaos and enjoy your qurantine time on the positive notes. 

#stayhome #digitek #music… https://t.co/5igzejN6c5"
2749,@rakeshbehl2 this money looting is happening every where. my mom admitted in KMC hospital karaikudi. though the bil… https://t.co/aYTs6qUcNR
2750,"@OtherAudi @aussieavidread Avid is correct. 

Go to S60 of the Biosecurity Act 2015 for starters, then think about… https://t.co/d0hWZfntzz"
2751,@dravsreddy Sir my cousin got covid.he is in qurantine now...i need few medical advices..wherr can i share his reports to you?pls help
2752,@MaggieMacphers6 @PMGPSC @NjbBari3 @GladysB @BradHazzard @NSWCHO We will have covid disruption forever because we d… https://t.co/UclFjBrmaW
2753,"@Dasa_Richie12 but if she steps out of innovative film city for d treatment, it almost done, unless bbk gives her chance with qurantine"
2754,"@drhariharanv Doctor my grand mother got positive today 70 years old, oxygen level 92. Pulse low. Home qurantine pa… https://t.co/44wrCaki5S"
2755,Before Cov!d I never started a conversation irl with mentioning Twitter or something related to it because that shi… https://t.co/Qo4sHpGpVI
2756,@HFWOdisha @IPR_Odisha @EastCoastRail @SWRRLY  if travel from dubai to kolkata by flight and then Howrah to Jaleswa… https://t.co/meNcNmmlTL
2757,#Bhadrak Collector Dr Gyana Das visited Bhadrak Railway Station today to supervise screening of returnees from othe… https://t.co/7Jx8gy5f6W
2758,I am not confirmed it's tomorrow sunday or next month starting in my qurantine😢
2759,Collector Dr Gyana Das visited Bhadrak Rly Station on 5/5 to supervise screening of returnees from other states and… https://t.co/nPGHX8DnlP
2760,"@bang_lalit @ChhaviRander No Bhaiya 

It had been checked and asked at Exit Point.
When she went from Mumbai to Kot… https://t.co/2DybLbgwSg"
2761,Aye after qurantine I’m not cussing anymore out my mouth
2762,@KolvekarC @pritigo46154855 @DrSohil My mom is 10th day of qurantine ..her Oxygen levels are fluctuating between 93… https://t.co/lXOc0PlsDM
2763,@CPHO_Canada Please Exempt the 3day  Hotel Qurantine for the vaccinated. Let the vaccinated directly move to the pl… https://t.co/E49UeBMVhJ
2764,"To all the Ann Frank who are in qurantine from this virus. 
I recommend you play state of survival and understand s… https://t.co/RUuSWRuLsL"
2765,@CMofKarnataka @BSYBJP @PMOIndia Please make sure 2 weeks quarantine for people coming across the borders from diff… https://t.co/OdVLqFHmZI
2766,"Day 2 of Teacher Appreciation @JackLoweSrES We had Taco Tuesday, a Corn In a Cup bar AND Qurantine Lotería! Lots of… https://t.co/E6qB7PpCG5"
2767,@yasirpeerzada11 Tell them abt our #qurantine squad(whatsapp) and they ll find a perfect content there....😂😂
2768,Qurantine blues by jaycee is fking awesome
2769,"Listening to the hype up zoom meeting organized for qurantine uni friends ❤️
#Uni"
2770,"@BorisJohnson @SkyNews @BBCBreaking @Channel4News 
Qurantine hotel is the biggest scam. Left to order food from Ube… https://t.co/AA3PCjU8jx"
2771,"@BBCBreaking A news that needs to be highlighted and the management at qurantine hotel is awful. 
My experience so… https://t.co/wQdh1beTm8"
2772,The wraith recolor is fucked up😂 depths of the void is a recolor of the qurantine skin but in the shop it’s the recolor for void specialist
2773,"@RGIAHyd
Dear Sir/Madam
I am traveling from Oman to Hyderabad on 8th May 2021, my place of destination is Vijayawad… https://t.co/cDwb7rTyYV"
2774,These Qurantine days make me realize to never take for granted our ability to choose freedom. ✨ #Crypto… https://t.co/6u2SL6W2RU
2775,@ella_soes No Ella we have only 2 vaccines Covishield &amp; COVAXIN. One is from Oxford Astra Zenca mfd by SII in India… https://t.co/wNALzETPLE
2776,@NCEMAUAE Please can UAE make flight back with conditions like expats who are vacinated two doss and mandatory qura… https://t.co/AifPsfdwYa
2777,"@PremierScottMoe Dear Sir, please allow SINP PNP approved PR applicants to travel and settle in Saskatchewan! We wi… https://t.co/GfcBEXMVlL"
2778,"@MysuruMemes Wait bro Everyone shifting to new bio bubble in   Mumbai all matches in Mumbai stadiums, gonna resume… https://t.co/Mash4cmie2"
2779,"Patient name -Krishan Sharma.               Spo2- 60        Age-55+
Location- Home Qurantine Delhi ncr Contact- 964… https://t.co/0MwUrO8JOk"
2780,It's Day10 of Covid qurantine. Honestly I would have lost my mind if it were not for some beautiful Twitter friends… https://t.co/HGZQwk9Ai4
2781,"In Corona Corner, we are asking musicians how the outbreak has effected them, how did they adapt to the situation,… https://t.co/GdhFi6FoKd"
2782,A friend of mine whose mom covid  report after 20 days qurantine ...is it risky yet ? https://t.co/0KJ1a5PveX
2783,"@Muz_7Dec2000 @CricCrazyJohns 7 days in qurantine, so 14 days left.

No chance"
2784,intha covid ward la tha my cousin working as head nurse last two weeks munnadi vara 10 nurses tha deploy paniruntha… https://t.co/OOvwkGt7zL
2785,@DennisCricket_ After qurantine in india we will welcome to all of them in such that to remove his suspicion that P… https://t.co/n35nToFmcH
2786,"We Qurantine anyone. Contact @OfficialSLC
🤣😂🤣
https://t.co/O3QtqHBufa"
2787,"If you don't know the meanings yet. This is for you. 💉💉

Link --&gt;&gt; https://t.co/nwJdIubZaq

#Lockdown #Isolation #Qurantine #COVID19"
2788,"Spending time with family builds confidence, teaches children about interacting with others, and creates wonderful… https://t.co/WmwyiB5HBh"
2789,@shubhambce @BCCI n good thing players can go early n do qurantine n pratice over der today is 4 they can leave on 25
2790,@SamsoniteRR High chances..very high..7 days hard Qurantine for all players then they will shift everything to mumbai.
2791,"@FourOverthrows They may go to new Zealand, and then to Australia after 14 days qurantine !?"
2792,@thewittydoctor_ @imajdnnational @IMAIndiaOrg @free_thinker @DocVatsa @dr_tushar_mehta @FAIMA_INDIA_ @ArvinderSoin… https://t.co/fP4dcWMGHS
2793,Seems like a lot of it came from the hospital visits and then return to team without any qurantine policy
2794,@jatindes Yes...their plans very well could be to bring here in Mumbai which is being reported. Qurantine all playe… https://t.co/jid4W6yoYD
2795,Positive  cases are  so many now ig negative walo  ko qurantine  karna padega
2796,My hostel mates along with Warden tested Covid positive. Hostel Closed &amp; all of Us (59) entered Home Qurantine....… https://t.co/mTxg2ymdnl
2797,@BeckkyB @mj_slats 1. Pandemic did not start until 2020 2. Only way you can work O/S right now is  fed govt approva… https://t.co/6BWunx35n3
2798,"@BoriaMajumdar If you are going into qurantine after out of bio bubble then it's breach 

Be it green channel but t… https://t.co/T6c8Tx5UnR"
2799,@MC_GWMC Sir please clear the wet garbage from my home. Municipal van is not coming to this side.Our family is in h… https://t.co/b19KTxBkjS
2800,A total of 76 cases related to Kingston construction site COVID-19 outbreak https://t.co/cIpayR2Khp
2801,"Oregon church won't close after COVID-19 outbreak infected 74 members, pastor says - ABC News - https://t.co/jha1QxjEQz via @ABC"
2802,Pastor says he won't close church after COVID-19 outbreak infected 74 members https://t.co/XAE9ffvcUk
2803,@JoshwoocoolX2 Maybe the outbreak ee
2804,These visuals will disturb you. Bodies float in Ganga in Bihar's Buxar as a nation mourns - Coronavirus Outbreak Ne… https://t.co/bgkTRoZ3SC
2805,"Across India, thousands of families have been given the herculean task of obtaining their own oxygen and other medi… https://t.co/hmvnBOey0l"
2806,"//dream smp, abuse, anxiety 

it makes sense that tommy seeks out chaos , he is familiar with violent environments.… https://t.co/6vnU3jaIhE"
2807,@bryan_caplan do you mean in year 2023 or cumulative deaths since outbreak?
2808,Report: Chinese Military Discussed Weaponizing Coronavirus Five Years Ago before Outbreak -- While Dr. Fauci Was Fu… https://t.co/o72rTWhgoc
2809,@ScottMorrisonMP @narendramodi At least for spouses and separated family members you can set up repatriation flight… https://t.co/gE2dnJC2jK
2810,@AzamAns30101115 @RailwaySeva @Central_Railway Abhi train mai travell karna safe hai kya due tu covid outbreak
2811,"I’m experiencing an outbreak of love &amp; caring I never thought possible before the Pandemic.
Many people want to lov… https://t.co/Arcy1Jy8B5"
2812,@TheMCZslayer This poll was a top tier idea MC. I personally have always wondered if I was alone on my view of heav… https://t.co/hAsdFKqgCZ
2813,"@AbyssalPen @CapcomUSA_ I imagine it'd have to be built from the ground up, as I'm pretty sure the code is long gon… https://t.co/5xolbTUHeQ"
2814,"@SpeakerPelosi https://t.co/R7WprA2y9k

Time to revisit 501 (c) (3)"
2815,Report: Chinese Military Discussed Weaponizing Coronavirus Five Years Ago before Outbreak -- While Dr. Fauci Was Fu… https://t.co/nlHGgo7elN
2816,@noname_h2020 @FrancescoEsp33 @K_G_Andersen No they didn't say that. What happened is that they closed down all tho… https://t.co/0dliD7qQMI
2817,Report: Chinese Military Discussed Weaponizing Coronavirus Five Years Ago before Outbreak -- While Dr. Fauci Was Fu… https://t.co/RIdtBrf6P6
2818,"9/11 has nothing on what is going on now. 
I have Zero fear of a Foreign terrorist attack in comparison to a Cop wh… https://t.co/xuJqybG096"
2819,Report: Chinese Military Discussed Weaponizing Coronavirus Five Years Ago before Outbreak -- While Dr. Fauci Was Fu… https://t.co/KGGeivvYar
2820,Covid norms go for a toss as hundreds crowd at Hyderabad market ahead of Eid https://t.co/Phxxf4byz5 via… https://t.co/o6nxwUZkhI
2821,It gah another outbreak fr or wa. Cause meen able today
2822,"The Seychelles is experiencing its largest coronavirus outbreak after vaccinating some 60% of its population, mostl… https://t.co/ipUG2HabLx"
2823,@trolltoll69420 @TrumpVideoDocu1 @JEandJL @AlecStapp @Timodc Well we are seeing a variant in Brazil that defeated n… https://t.co/2WGus1fgIU
2824,"NJPW had the first coronavirus cases on its roster this weekend, so I wrote about the history of how the company ha… https://t.co/zYbX7FFE5l"
2825,@ShooguhLipz @WendyOrent @R_H_Ebright @K_G_Andersen Yes there were. Which if those were connected to the wet market… https://t.co/EXtoaPKLCD
2826,Mucormycosis: The Black Fungus Affecting COVID-19 Patients https://t.co/QaDZPkDN3T via @boomlive_in
2827,"""The coronavirus outbreak has had a dramatic psychological effect on workers, and people are reassessing what they… https://t.co/5GfV37Y48X"
